date,year,month,temp_anomaly,co2,ch4,n2o,co2_emissions,months_since_start,co2_growth_rate,ch4_growth_rate,n2o_growth_rate,co2_12mo_ma,ch4_12mo_ma,n2o_12mo_ma,temp_12mo_ma
1880-12-01,1880,12,-0.19,336.56,1625.97,316.3,858.227783203125,11,0.0,0.0,0.0,336.56,1625.97,316.3,-0.17166666666666666
1881-01-01,1881,1,-0.2,336.56,1625.97,316.3,888.1725463867188,12,0.0,0.0,0.0,336.56,1625.97,316.3,-0.17250000000000001
1881-02-01,1881,2,-0.15,336.56,1625.97,316.3,888.1725463867188,13,0.0,0.0,0.0,336.56,1625.97,316.3,-0.16416666666666668
1881-03-01,1881,3,0.02,336.56,1625.97,316.3,888.1725463867188,14,0.0,0.0,0.0,336.56,1625.97,316.3,-0.155
1881-04-01,1881,4,0.04,336.56,1625.97,316.3,888.1725463867188,15,0.0,0.0,0.0,336.56,1625.97,316.3,-0.13833333333333334
1881-05-01,1881,5,0.07,336.56,1625.97,316.3,888.1725463867188,16,0.0,0.0,0.0,336.56,1625.97,316.3,-0.12416666666666666
1881-06-01,1881,6,-0.19,336.56,1625.97,316.3,888.1725463867188,17,0.0,0.0,0.0,336.56,1625.97,316.3,-0.1225
1881-07-01,1881,7,0.01,336.56,1625.97,316.3,888.1725463867188,18,0.0,0.0,0.0,336.56,1625.97,316.3,-0.10666666666666667
1881-08-01,1881,8,-0.04,336.56,1625.97,316.3,888.1725463867188,19,0.0,0.0,0.0,336.56,1625.97,316.3,-0.10166666666666667
1881-09-01,1881,9,-0.15,336.56,1625.97,316.3,888.1725463867188,20,0.0,0.0,0.0,336.56,1625.97,316.3,-0.1025
1881-10-01,1881,10,-0.21,336.56,1625.97,316.3,888.1725463867188,21,0.0,0.0,0.0,336.56,1625.97,316.3,-0.10083333333333333
1881-11-01,1881,11,-0.18,336.56,1625.97,316.3,888.1725463867188,22,0.0,0.0,0.0,336.56,1625.97,316.3,-0.09749999999999999
1881-12-01,1881,12,-0.07,336.56,1625.97,316.3,888.1725463867188,23,0.0,0.0,0.0,336.56,1625.97,316.3,-0.08750000000000001
1882-01-01,1882,1,0.16,336.56,1625.97,316.3,938.1580810546876,24,0.0,0.0,0.0,336.56,1625.97,316.3,-0.057499999999999996
1882-02-01,1882,2,0.14,336.56,1625.97,316.3,938.1580810546876,25,0.0,0.0,0.0,336.56,1625.97,316.3,-0.03333333333333333
1882-03-01,1882,3,0.04,336.56,1625.97,316.3,938.1580810546876,26,0.0,0.0,0.0,336.56,1625.97,316.3,-0.03166666666666667
1882-04-01,1882,4,-0.16,336.56,1625.97,316.3,938.1580810546876,27,0.0,0.0,0.0,336.56,1625.97,316.3,-0.04833333333333333
1882-05-01,1882,5,-0.14,336.56,1625.97,316.3,938.1580810546876,28,0.0,0.0,0.0,336.56,1625.97,316.3,-0.06583333333333333
1882-06-01,1882,6,-0.23,336.56,1625.97,316.3,938.1580810546876,29,0.0,0.0,0.0,336.56,1625.97,316.3,-0.06916666666666667
1882-07-01,1882,7,-0.16,336.56,1625.97,316.3,938.1580810546876,30,0.0,0.0,0.0,336.56,1625.97,316.3,-0.08333333333333333
1882-08-01,1882,8,-0.08,336.56,1625.97,316.3,938.1580810546876,31,0.0,0.0,0.0,336.56,1625.97,316.3,-0.08666666666666667
1882-09-01,1882,9,-0.15,336.56,1625.97,316.3,938.1580810546876,32,0.0,0.0,0.0,336.56,1625.97,316.3,-0.08666666666666667
1882-10-01,1882,10,-0.23,336.56,1625.97,316.3,938.1580810546876,33,0.0,0.0,0.0,336.56,1625.97,316.3,-0.08833333333333333
1882-11-01,1882,11,-0.17,336.56,1625.97,316.3,938.1580810546876,34,0.0,0.0,0.0,336.56,1625.97,316.3,-0.08750000000000001
1882-12-01,1882,12,-0.36,336.56,1625.97,316.3,938.1580810546876,35,0.0,0.0,0.0,336.56,1625.97,316.3,-0.11166666666666665
1883-01-01,1883,1,-0.29,336.56,1625.97,316.3,997.8624877929688,36,0.0,0.0,0.0,336.56,1625.97,316.3,-0.14916666666666667
1883-02-01,1883,2,-0.36,336.56,1625.97,316.3,997.8624877929688,37,0.0,0.0,0.0,336.56,1625.97,316.3,-0.19083333333333333
1883-03-01,1883,3,-0.12,336.56,1625.97,316.3,997.8624877929688,38,0.0,0.0,0.0,336.56,1625.97,316.3,-0.2041666666666667
1883-04-01,1883,4,-0.18,336.56,1625.97,316.3,997.8624877929688,39,0.0,0.0,0.0,336.56,1625.97,316.3,-0.2058333333333333
1883-05-01,1883,5,-0.18,336.56,1625.97,316.3,997.8624877929688,40,0.0,0.0,0.0,336.56,1625.97,316.3,-0.2091666666666667
1883-06-01,1883,6,-0.07,336.56,1625.97,316.3,997.8624877929688,41,0.0,0.0,0.0,336.56,1625.97,316.3,-0.1958333333333333
1883-07-01,1883,7,-0.08,336.56,1625.97,316.3,997.8624877929688,42,0.0,0.0,0.0,336.56,1625.97,316.3,-0.18916666666666668
1883-08-01,1883,8,-0.14,336.56,1625.97,316.3,997.8624877929688,43,0.0,0.0,0.0,336.56,1625.97,316.3,-0.19416666666666668
1883-09-01,1883,9,-0.22,336.56,1625.97,316.3,997.8624877929688,44,0.0,0.0,0.0,336.56,1625.97,316.3,-0.19999999999999998
1883-10-01,1883,10,-0.11,336.56,1625.97,316.3,997.8624877929688,45,0.0,0.0,0.0,336.56,1625.97,316.3,-0.19000000000000003
1883-11-01,1883,11,-0.24,336.56,1625.97,316.3,997.8624877929688,46,0.0,0.0,0.0,336.56,1625.97,316.3,-0.19583333333333333
1883-12-01,1883,12,-0.12,336.56,1625.97,316.3,997.8624877929688,47,0.0,0.0,0.0,336.56,1625.97,316.3,-0.1758333333333333
1884-01-01,1884,1,-0.13,336.56,1625.97,316.3,1009.761962890625,48,0.0,0.0,0.0,336.56,1625.97,316.3,-0.1625
1884-02-01,1884,2,-0.08,336.56,1625.97,316.3,1009.761962890625,49,0.0,0.0,0.0,336.56,1625.97,316.3,-0.13916666666666666
1884-03-01,1884,3,-0.37,336.56,1625.97,316.3,1009.761962890625,50,0.0,0.0,0.0,336.56,1625.97,316.3,-0.16
1884-04-01,1884,4,-0.4,336.56,1625.97,316.3,1009.761962890625,51,0.0,0.0,0.0,336.56,1625.97,316.3,-0.17833333333333334
1884-05-01,1884,5,-0.34,336.56,1625.97,316.3,1009.761962890625,52,0.0,0.0,0.0,336.56,1625.97,316.3,-0.19166666666666665
1884-06-01,1884,6,-0.35,336.56,1625.97,316.3,1009.761962890625,53,0.0,0.0,0.0,336.56,1625.97,316.3,-0.215
1884-07-01,1884,7,-0.31,336.56,1625.97,316.3,1009.761962890625,54,0.0,0.0,0.0,336.56,1625.97,316.3,-0.23416666666666666
1884-08-01,1884,8,-0.28,336.56,1625.97,316.3,1009.761962890625,55,0.0,0.0,0.0,336.56,1625.97,316.3,-0.24583333333333335
1884-09-01,1884,9,-0.27,336.56,1625.97,316.3,1009.761962890625,56,0.0,0.0,0.0,336.56,1625.97,316.3,-0.25000000000000006
